,,,,,,,,,,,,
,Sci-Fi Idea Bank,,,,,,,,,,,
,,,,,,,,,,,,
,Sci-Fi Ideas:,Technovelgy,,,,,,,,,,
,Compiled by:,Not Boring,,,,,,,,,,
,,,,,,,,,,,,
,Date,Device Name,Novel,Author,Description,Built?,By Whom?,Product,First Year Made,Additional Details,Bits or Atoms?,Companies Working on This
,1634,Weightlessness (Kepler),Somnium (The Dream),Johannes Kepler,The notion that there could be a location with zero effective gravity.,Yes,"NASA, Roscosmos",International Space Station,1998,N/A,Atoms,
,1638,Weightlessness in Space,The Man in the Moone,Francis Godwin,This appears to be the first description of the idea of weightlessness in space.,Yes,"NASA, Roscosmos",International Space Station,1998,N/A,Atoms,
,2023,Flesh Putty,Titanium Noir,Nick Harkaway,"A flesh replacement, good for putting in bullet holes.",No,N/A,N/A,N/A,Fictional medicine in the novel,Atoms,
,2023,Science Chair,Titanium Noir,Nick Harkaway,Grown from your DNA for extra comfort.,No,N/A,N/A,N/A,Fictional biotech in the novel,Atoms,
,2022,Maritime Robots,Mare Nostrum,Bruce Sterling,Robots designed to perform every aspect of maintenance for a ship.,No,N/A,N/A,N/A,Fictional robotics in the novel,Atoms,
,1726,Geometric Modeling,Gulliver's Travels,Jonathan Swift,"The first recorded use of geometric figures to directly represent, or model, living beings.",Yes,"Autodesk, Dassault",3D modeling software,1982,N/A,Bits,
,1726,Knowledge Engine,Gulliver's Travels,Jonathan Swift,The first reference to a machine that could create sentences or write books.,Yes,Google,Search engine,1998,N/A,Bits,
,1726,Bio-Energy,Gulliver's Travels,Jonathan Swift,The first reference to extracting electricity from organic materials.,Yes,Various,Biofuel production,1895,First commercial production of biofuel,Atoms,
,2022,Prosthetic Yachting Gloves,Mare Nostrum,Bruce Sterling,Robotic gloves for sailors.,No,N/A,N/A,N/A,Fictional robotics in the novel,Atoms,
,1727,Androide,Cyclopaedia,Ephraim Chambers,A device having the form or likeness of a man.,Yes,"Honda, Boston Dynamics",Humanoid robots,2000s,"ASIMO, Atlas",Atoms,
,2022,Abglanz,The Mountain in the Sea,Ray Naylor,A mask that hides identity.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,2021,Pina2bo,Termination Shock,Neal Stephenson,A huge cannon that shot shells filled with sulfur high into the atmosphere for the purpose of geoengineering a change in climate.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,2020,DNA Swab Palate,The Breach,M.T. Hill,"Adheres to the palate, and provides false material for DNA swabs.",No,N/A,N/A,N/A,Fictional biotech in the novel,Atoms,
,2020,Bio-Implant (Compensator Chip),Hella,David Gerrold,A neural implant that helps an autistic child to live a more complete and useful life.,No,N/A,N/A,N/A,Fictional biotech in the novel,Bits,
,2020,Scuttle-bot,Hella,David Gerrold,An all-purpose surveillance robot that climbed rather than flew.,No,N/A,N/A,N/A,Fictional robot in the novel,Atoms,
,2020,Pacification Drones,The Breach,M.T. Hill,Surveillance drones that emit calming notes.,No,N/A,N/A,N/A,Fictional UAVs in the novel,Atoms,
,2020,Sloth Pill,The Breach,M.T. Hill,A medication to induce a kind of somnolence like short-term hibernation; used in air travel.,No,N/A,N/A,N/A,Fictional medicine in the novel,Atoms,
,2020,Burner Modem,The Breach,M.T. Hill,A connection device that can be thrown away if necessary.,No,N/A,N/A,N/A,Fictional technology in the novel,Bits,
,2019,Forward Warehousing,Stealing Worlds,Karl Schroeder,Using the trunks of cars as little warehouses.,No,N/A,N/A,N/A,Fictional concept in the novel,Atoms,
,1864,Whispering Gallery,Journey to the Center of the Earth,Jules Verne,A means of communication in specifically shaped spaces.,Yes,Various,Architectural acoustics,19th century,N/A,Atoms,
,2019,VEIL,"Fall; or, Dodge in Hell: A Novel",Neal Stephenson,A wearable device used to foil facial recognition systems.,No,N/A,N/A,N/A,Fictional technology in the novel,Bits,
,2019,OLED Body Film,Waste Tide,Chen Qiufan,Attaching or implanting flexible screen material to the body as decoration.,No,N/A,N/A,N/A,Fictional biotech in the novel,Bits,
,1867,Light Pressure Propulsion,From the Earth to the Moon,Jules Verne,First mention of the idea that light itself could be a form of propulsion for spacecraft.,Yes,"NASA, JAXA",Solar sails,2010s,"IKAROS, LightSail",Atoms,
,2017,Hotello,New York 2140,Kim Stanley Robinson,A portable room within a room.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,1867,Air Renewal,From the Earth to the Moon,Jules Verne,Re-oxygenating the air within the projectile spacecraft.,Yes,"NASA, Roscosmos",Life support systems,1960s,On spacecraft like Soyuz,Atoms,
,1867,Communicate with Extraterrestrials,From the Earth to the Moon,Jules Verne,Early plan to communicate with life on planets removed from the earth.,Yes,"NASA, SETI",Communication initiatives,1960s,Efforts like SETI and messaging space probes,Bits,
,1867,Splashdown,From the Earth to the Moon,Jules Verne,The use of water as a medium for landing one's space ship in.,Yes,NASA,Ocean landing,1960s,Used for early crewed spaceflights,Atoms,
,2017,Superscraper,New York 2140,Kim Stanley Robinson,Buildings that are hundreds of stories tall.,No,N/A,N/A,N/A,Fictional architecture in the novel,Atoms,
,1867,Free Return Trajectory,From the Earth to the Moon,Jules Verne,The idea that it would be possible for a projectile to go around the Moon and then return to Earth.,Yes,"NASA, JAXA",Free return trajectories,1960s,Used on Apollo missions,Atoms,
,2016,Crowdcutter,Infomocracy,Malka Older,A device worn to part crowds.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,2016,Logical Pathogen,The Medusa Chronicles,Alastair Reynolds (w/S. Baxter,Malware concealed in DNA.,No,N/A,N/A,N/A,Fictional concept in the novel,Atoms,
,1867,Retro-Rockets,From the Earth to the Moon,Jules Verne,"Small boosters to provide a thrust counter to the current velocity of the spacecraft, slowing it down or stopping its progress altogether.",Yes,"NASA, SpaceX",Retro-rockets,1960s,Used on spacecraft for maneuvering and landing,Atoms,
,1867,Weightlessness,From the Earth to the Moon,Jules Verne,The state experienced in free fall; a space traveler's weight is apparently reduced to zero.,Yes,"NASA, Roscosmos",Experiencing weightlessness,1961,First human spaceflight by Yuri Gagarin,Atoms,
,2015,Centipede,Killing Titan,Greg Bear,"Perfect craft for crawling through slushy, frozen lakes - on Titan.",No,N/A,N/A,N/A,Fictional vehicle in the novel,Atoms,
,2015,Jonnytruck,The Water Knife,Paolo Bacigalupi,A movable bathroom for hire; cost is offset by reclamation.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,2015,Face Recognition Sunglasses,The Water Knife,Paolo Bacigalupi,Sunglasses that connect with a remote database to perform face recognition.,No,N/A,N/A,N/A,Fictional technology in the novel,Bits,
,2015,Vehicle Seeds,Killing Titan,Greg Bear,A matrix of materials and instructions that allow vehicles to grow themselves when placed in an environment of plentiful materials.,No,N/A,N/A,N/A,Fictional manufacturing in the novel,Atoms,
,2015,Public Urine Collection,The Water Knife,Paolo Bacigalupi,"Arcologies offer public latrines, then collect for reclamation.",No,N/A,N/A,N/A,Fictional concept in the novel,Atoms,
,2015,Cranial Amplified Programming CAP,Killing Titan,Greg Bear,"An aid to learning, which you apply directly to your skull.",No,N/A,N/A,N/A,Fictional technology in the novel,Bits,
,2015,Clearsac,The Water Knife,Paolo Bacigalupi,A simple device that filters water perfectly for reuse.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,1875,Undersea Mining,"20,000 Leagues Under the Sea",Jules Verne,Conducting mining operations on the sea floor.,Yes,Various,Undersea mining,1960s,Early efforts in the 1960s,Atoms,
,1875,Diving Apparatus,"20,000 Leagues Under the Sea",Jules Verne,Equipment used to go for walks on the sea bed; the direct ancestor of modern scuba diving equipment.,Yes,Various,Scuba gear,1943,First scuba gear patented by Jacques Cousteau,Atoms,
,2014,Oxygen Fountain,War Dogs,Greg Bear,A small factory for making oxygen on the Martian surface.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,2014,Replaced Worker Benefits,Spark,John Twelve Hawks,Compensation for people whose jobs are taken by robots.,No,N/A,N/A,N/A,Fictional concept in the novel,Bits,
,2014,Cosmoline (Warm Sleep),War Dogs,Greg Bear,Special gel that offers healing and hibernation for space travelers.,No,N/A,N/A,N/A,Fictional substance in the novel,Atoms,
,2014,Freedom ID,Spark,John Twelve Hawks,A chip inserted into the hand for identification (and surveillance) purposes.,No,N/A,N/A,N/A,Fictional biotech in the novel,Bits,
,2014,EYE Program,Spark,John Twelve Hawks,A massive government database on civilians.,No,N/A,N/A,N/A,Fictional concept in the novel,Bits,
,1879,Home News Printer,The Senator's Daughter,Edward Page Mitchell,A device that prints out the newspaper of your choice right in your own home.,Yes,"HP, Canon",Home printers,1970s,N/A,Bits,
,2014,Norm-All Program,Spark,John Twelve Hawks,A set of algorithms that determine a reasonable location for every citizen.,No,N/A,N/A,N/A,Fictional concept in the novel,Bits,
,2014,Timeout,War Dogs,Greg Bear,The part of a Skyrene's life that is spent in Warm Sleep travel between Earth and the destination planet.,No,N/A,N/A,N/A,Fictional concept in the novel,N/A,
,1881,Chemical Production of Food,Mizora: A Prophecy,Mary E. Bradley Lane,Creation of food in the laboratory rather than in the field.,Yes,Various,Lab-grown food,2000s,Early efforts in 2000s,Atoms,
,2014,Skintight,War Dogs,Greg Bear,Specialized space suit for low atmospheric pressure environments like Mars.,No,N/A,N/A,N/A,Fictional technology in the novel,Atoms,
,1883,Telephonoscope,Le Vingtième Siècle (The Twentieth Century),Albert Robida,A device that effectively transmits pictures and sound over long distances.,Yes,Various,Video calling,1930s,Early video calling efforts in 1930s,Atoms,
,2014,Nubot,Spark,John Twelve Hawks,An android that directly replaces a human at their job.,No,N/A,N/A,N/A,Fictional robot in the novel,Atoms,
,2014,Puff (Puff Balls),War Dogs,Greg Bear,Material that is used to help Skyrines dropped to the surface of Mars get rid of some of that excess velocity.,No,N/A,N/A,N/A,Fictional substance in the novel,Atoms,
,1888,Credit Card,Looking Backward,Edward Bellamy,A simple card that is used in place of money,Yes,"Visa, Mastercard",Credit cards,1950s,N/A,Atoms,
,1888,Telephonic Music Room,Looking Backward,Edward Bellamy,"Places where a person could go, at any time, to share in musical performances happening at some distance away.",Yes,"Spotify, Apple Music",Music streaming,2000s,N/A,Bits,
,1888,Mall (Great City Bazaar),Looking Backward,Edward Bellamy,An aggregation of shops under one roof.,Yes,"Westfield, Simon Property",Shopping malls,1950s,N/A,Atoms,
